year_month,total_accounts,date,twitter_data,office_type
2019-04,51,2019-04-01,all,senate
2019-05,53,2019-05-01,all,senate
2019-06,54,2019-06-01,all,senate
2019-07,56,2019-07-01,all,senate
2019-08,58,2019-08-01,all,senate
2019-09,58,2019-09-01,all,senate
2019-10,59,2019-10-01,all,senate
2019-11,57,2019-11-01,all,senate
2019-12,59,2019-12-01,all,senate
2020-01,61,2020-01-01,all,senate
2020-02,60,2020-02-01,all,senate
2020-03,62,2020-03-01,all,senate
2020-04,61,2020-04-01,all,senate
2020-05,61,2020-05-01,all,senate
2020-06,50,2020-06-01,all,senate
2020-07,50,2020-07-01,all,senate
2020-08,53,2020-08-01,all,senate
2020-09,54,2020-09-01,all,senate
2020-10,56,2020-10-01,all,senate
2020-11,56,2020-11-01,all,senate
2008-12,5,2008-12-01,combined,house
2009-01,11,2009-01-01,combined,house
2009-02,18,2009-02-01,combined,house
2009-03,25,2009-03-01,combined,house
2009-04,36,2009-04-01,combined,house
2009-05,36,2009-05-01,combined,house
2009-06,40,2009-06-01,combined,house
2009-07,41,2009-07-01,combined,house
2009-08,38,2009-08-01,combined,house
2009-09,47,2009-09-01,combined,house
2009-10,47,2009-10-01,combined,house
2009-11,51,2009-11-01,combined,house
2009-12,49,2009-12-01,combined,house
2010-01,48,2010-01-01,combined,house
2010-02,53,2010-02-01,combined,house
2010-03,59,2010-03-01,combined,house
2010-04,63,2010-04-01,combined,house
2010-05,68,2010-05-01,combined,house
2010-06,74,2010-06-01,combined,house
2010-07,74,2010-07-01,combined,house
2010-08,77,2010-08-01,combined,house
2010-09,75,2010-09-01,combined,house
2010-10,78,2010-10-01,combined,house
2010-11,79,2010-11-01,combined,house
2010-12,75,2010-12-01,combined,house
2011-01,89,2011-01-01,combined,house
2011-02,89,2011-02-01,combined,house
2011-03,98,2011-03-01,combined,house
2011-04,103,2011-04-01,combined,house
2011-05,108,2011-05-01,combined,house
2011-06,110,2011-06-01,combined,house
2011-07,109,2011-07-01,combined,house
2011-08,112,2011-08-01,combined,house
2011-09,118,2011-09-01,combined,house
2011-10,125,2011-10-01,combined,house
2011-11,136,2011-11-01,combined,house
2011-12,136,2011-12-01,combined,house
2012-01,140,2012-01-01,combined,house
2012-02,143,2012-02-01,combined,house
2012-03,149,2012-03-01,combined,house
2012-04,154,2012-04-01,combined,house
2012-05,158,2012-05-01,combined,house
2012-06,166,2012-06-01,combined,house
2012-07,163,2012-07-01,combined,house
2012-08,168,2012-08-01,combined,house
2012-09,173,2012-09-01,combined,house
2012-10,172,2012-10-01,combined,house
2012-11,177,2012-11-01,combined,house
2012-12,164,2012-12-01,combined,house
2013-01,189,2013-01-01,combined,house
2013-02,189,2013-02-01,combined,house
2013-03,205,2013-03-01,combined,house
2013-04,205,2013-04-01,combined,house
2013-05,210,2013-05-01,combined,house
2013-06,221,2013-06-01,combined,house
2013-07,226,2013-07-01,combined,house
2013-08,228,2013-08-01,combined,house
2013-09,238,2013-09-01,combined,house
2013-10,236,2013-10-01,combined,house
2013-11,243,2013-11-01,combined,house
2013-12,238,2013-12-01,combined,house
2014-01,243,2014-01-01,combined,house
2014-02,240,2014-02-01,combined,house
2014-03,248,2014-03-01,combined,house
2014-04,251,2014-04-01,combined,house
2014-05,251,2014-05-01,combined,house
2014-06,256,2014-06-01,combined,house
2014-07,258,2014-07-01,combined,house
2014-08,250,2014-08-01,combined,house
2014-09,261,2014-09-01,combined,house
2014-10,259,2014-10-01,combined,house
2014-11,260,2014-11-01,combined,house
2014-12,262,2014-12-01,combined,house
2015-01,279,2015-01-01,combined,house
2015-02,276,2015-02-01,combined,house
2015-03,287,2015-03-01,combined,house
2015-04,289,2015-04-01,combined,house
2015-05,289,2015-05-01,combined,house
2015-06,293,2015-06-01,combined,house
2015-07,292,2015-07-01,combined,house
2015-08,291,2015-08-01,combined,house
2015-09,296,2015-09-01,combined,house
2015-10,298,2015-10-01,combined,house
2015-11,300,2015-11-01,combined,house
2015-12,304,2015-12-01,combined,house
2016-01,306,2016-01-01,combined,house
2016-02,305,2016-02-01,combined,house
2016-03,310,2016-03-01,combined,house
2016-04,308,2016-04-01,combined,house
2016-05,314,2016-05-01,combined,house
2016-06,317,2016-06-01,combined,house
2016-07,315,2016-07-01,combined,house
2016-08,315,2016-08-01,combined,house
2016-09,320,2016-09-01,combined,house
2016-10,315,2016-10-01,combined,house
2016-11,316,2016-11-01,combined,house
2016-12,317,2016-12-01,combined,house
2017-01,333,2017-01-01,combined,house
2017-02,320,2017-02-01,combined,house
2017-03,338,2017-03-01,combined,house
2017-04,339,2017-04-01,combined,house
2017-05,344,2017-05-01,combined,house
2017-06,343,2017-06-01,combined,house
2017-07,350,2017-07-01,combined,house
2017-08,352,2017-08-01,combined,house
2017-09,349,2017-09-01,combined,house
2017-10,355,2017-10-01,combined,house
2017-11,359,2017-11-01,combined,house
2017-12,358,2017-12-01,combined,house
2018-01,368,2018-01-01,combined,house
2018-02,362,2018-02-01,combined,house
2018-03,378,2018-03-01,combined,house
2018-04,378,2018-04-01,combined,house
2018-05,379,2018-05-01,combined,house
2018-06,379,2018-06-01,combined,house
2018-07,386,2018-07-01,combined,house
2018-08,383,2018-08-01,combined,house
2018-09,387,2018-09-01,combined,house
2018-10,384,2018-10-01,combined,house
2018-11,380,2018-11-01,combined,house
2018-12,335,2018-12-01,combined,house
2019-01,330,2019-01-01,combined,house
2019-02,334,2019-02-01,combined,house
2019-03,348,2019-03-01,combined,house
2019-04,349,2019-04-01,combined,house
2019-05,352,2019-05-01,combined,house
2019-06,349,2019-06-01,combined,house
2019-07,353,2019-07-01,combined,house
2019-08,352,2019-08-01,combined,house
2019-09,358,2019-09-01,combined,house
2019-10,361,2019-10-01,combined,house
2019-11,360,2019-11-01,combined,house
2019-12,363,2019-12-01,combined,house
2020-01,371,2020-01-01,combined,house
2020-02,370,2020-02-01,combined,house
2020-03,377,2020-03-01,combined,house
2020-04,376,2020-04-01,combined,house
2020-05,380,2020-05-01,combined,house
2020-06,355,2020-06-01,combined,house
2020-07,357,2020-07-01,combined,house
2020-08,368,2020-08-01,combined,house
2020-09,360,2020-09-01,combined,house
2020-10,367,2020-10-01,combined,house
2020-11,363,2020-11-01,combined,house
2008-12,5,2008-12-01,all,house
2009-01,11,2009-01-01,all,house
2009-02,18,2009-02-01,all,house
2009-03,25,2009-03-01,all,house
2009-04,36,2009-04-01,all,house
2009-05,36,2009-05-01,all,house
2009-06,41,2009-06-01,all,house
2009-07,42,2009-07-01,all,house
2009-08,38,2009-08-01,all,house
2009-09,49,2009-09-01,all,house
2009-10,49,2009-10-01,all,house
2009-11,53,2009-11-01,all,house
2009-12,50,2009-12-01,all,house
2010-01,51,2010-01-01,all,house
2010-02,57,2010-02-01,all,house
2010-03,63,2010-03-01,all,house
2010-04,68,2010-04-01,all,house
2010-05,72,2010-05-01,all,house
2010-06,81,2010-06-01,all,house
2010-07,82,2010-07-01,all,house
2010-08,87,2010-08-01,all,house
2010-09,88,2010-09-01,all,house
2010-10,89,2010-10-01,all,house
2010-11,91,2010-11-01,all,house
2010-12,81,2010-12-01,all,house
2011-01,103,2011-01-01,all,house
2011-02,105,2011-02-01,all,house
2011-03,113,2011-03-01,all,house
2011-04,122,2011-04-01,all,house
2011-05,126,2011-05-01,all,house
2011-06,126,2011-06-01,all,house
2011-07,128,2011-07-01,all,house
2011-08,129,2011-08-01,all,house
2011-09,141,2011-09-01,all,house
2011-10,149,2011-10-01,all,house
2011-11,161,2011-11-01,all,house
2011-12,160,2011-12-01,all,house
2012-01,166,2012-01-01,all,house
2012-02,175,2012-02-01,all,house
2012-03,184,2012-03-01,all,house
2012-04,189,2012-04-01,all,house
2012-05,197,2012-05-01,all,house
2012-06,207,2012-06-01,all,house
2012-07,204,2012-07-01,all,house
2012-08,209,2012-08-01,all,house
2012-09,216,2012-09-01,all,house
2012-10,216,2012-10-01,all,house
2012-11,221,2012-11-01,all,house
2012-12,192,2012-12-01,all,house
2013-01,229,2013-01-01,all,house
2013-02,233,2013-02-01,all,house
2013-03,247,2013-03-01,all,house
2013-04,252,2013-04-01,all,house
2013-05,258,2013-05-01,all,house
2013-06,266,2013-06-01,all,house
2013-07,277,2013-07-01,all,house
2013-08,280,2013-08-01,all,house
2013-09,291,2013-09-01,all,house
2013-10,290,2013-10-01,all,house
2013-11,305,2013-11-01,all,house
2013-12,290,2013-12-01,all,house
2014-01,309,2014-01-01,all,house
2014-02,313,2014-02-01,all,house
2014-03,321,2014-03-01,all,house
2014-04,331,2014-04-01,all,house
2014-05,331,2014-05-01,all,house
2014-06,332,2014-06-01,all,house
2014-07,344,2014-07-01,all,house
2014-08,336,2014-08-01,all,house
2014-09,351,2014-09-01,all,house
2014-10,356,2014-10-01,all,house
2014-11,356,2014-11-01,all,house
2014-12,317,2014-12-01,all,house
2015-01,367,2015-01-01,all,house
2015-02,356,2015-02-01,all,house
2015-03,371,2015-03-01,all,house
2015-04,377,2015-04-01,all,house
2015-05,378,2015-05-01,all,house
2015-06,385,2015-06-01,all,house
2015-07,389,2015-07-01,all,house
2015-08,383,2015-08-01,all,house
2015-09,399,2015-09-01,all,house
2015-10,399,2015-10-01,all,house
2015-11,398,2015-11-01,all,house
2015-12,403,2015-12-01,all,house
2016-01,415,2016-01-01,all,house
2016-02,432,2016-02-01,all,house
2016-03,429,2016-03-01,all,house
2016-04,423,2016-04-01,all,house
2016-05,433,2016-05-01,all,house
2016-06,440,2016-06-01,all,house
2016-07,453,2016-07-01,all,house
2016-08,455,2016-08-01,all,house
2016-09,454,2016-09-01,all,house
2016-10,456,2016-10-01,all,house
2016-11,458,2016-11-01,all,house
2016-12,421,2016-12-01,all,house
2017-01,458,2017-01-01,all,house
2017-02,457,2017-02-01,all,house
2017-03,455,2017-03-01,all,house
2017-04,455,2017-04-01,all,house
2017-05,468,2017-05-01,all,house
2017-06,471,2017-06-01,all,house
2017-07,474,2017-07-01,all,house
2017-08,474,2017-08-01,all,house
2017-09,482,2017-09-01,all,house
2017-10,480,2017-10-01,all,house
2017-11,486,2017-11-01,all,house
2017-12,484,2017-12-01,all,house
2018-01,503,2018-01-01,all,house
2018-02,509,2018-02-01,all,house
2018-03,515,2018-03-01,all,house
2018-04,518,2018-04-01,all,house
2018-05,527,2018-05-01,all,house
2018-06,534,2018-06-01,all,house
2018-07,528,2018-07-01,all,house
2018-08,532,2018-08-01,all,house
2018-09,561,2018-09-01,all,house
2018-10,563,2018-10-01,all,house
2018-11,560,2018-11-01,all,house
2018-12,452,2018-12-01,all,house
2019-01,466,2019-01-01,all,house
2019-02,527,2019-02-01,all,house
2019-03,528,2019-03-01,all,house
2019-04,527,2019-04-01,all,house
2019-05,540,2019-05-01,all,house
2019-06,545,2019-06-01,all,house
2019-07,549,2019-07-01,all,house
2019-08,526,2019-08-01,all,house
2019-09,555,2019-09-01,all,house
2019-10,556,2019-10-01,all,house
2019-11,573,2019-11-01,all,house
2019-12,571,2019-12-01,all,house
2020-01,596,2020-01-01,all,house
2020-02,604,2020-02-01,all,house
2020-03,608,2020-03-01,all,house
2020-04,603,2020-04-01,all,house
2020-05,620,2020-05-01,all,house
2020-06,519,2020-06-01,all,house
2020-07,530,2020-07-01,all,house
2020-08,557,2020-08-01,all,house
2020-09,562,2020-09-01,all,house
2020-10,572,2020-10-01,all,house
2020-11,569,2020-11-01,all,house
